name,image,price,price change
"Apple iPhone 11, 64GB, Purple - Fully Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/51U8WCTTmCL._AC_UY218_.jpg"" width=""60"">",307,
"Apple iPhone XR, 64GB, White - Unlocked (Renewed Premium)","<img src=""https://m.media-amazon.com/images/I/41ZjUOH6nRL._AC_UY218_.jpg"" width=""60"">",267,
"Apple iPhone 12 Pro, 128GB, Pacific Blue - Fully Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/71z4b3G3GAL._AC_UY218_.jpg"" width=""60"">",529,
"Apple iPhone 12, 128GB, Blue - Fully Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/7117DN7UkKL._AC_UY218_.jpg"" width=""60"">",439,
"Apple iPhone 11 Pro, 256GB, Space Gray - Fully Unlocked (Renewed Premium)","<img src=""https://m.media-amazon.com/images/I/61n+UgO3jrL._AC_UY218_.jpg"" width=""60"">",504,
"Apple iPhone 8, US Version, 256GB, Space Gray - Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/61FhS4DYV7L._AC_UY218_.jpg"" width=""60"">",154,
"Apple iPhone 12 Pro Max, 128GB, Pacific Blue - Unlocked (Renewed Premium)","<img src=""https://m.media-amazon.com/images/I/71FuI8YvCNL._AC_UY218_.jpg"" width=""60"">",689,
"iPhone 13 Pro Max, 256GB, Sierra Blue - Unlocked (Renewed Premium)","<img src=""https://m.media-amazon.com/images/I/61i8Vjb17SL._AC_UY218_.jpg"" width=""60"">",1101,
"Apple iPhone XS, US Version, 256GB, Space Gray - Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/61xa10dafvL._AC_UY218_.jpg"" width=""60"">",264,
"Apple iPhone X, US Version, 64GB, Silver - Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/81SSw14XZHL._AC_UY218_.jpg"" width=""60"">",213,
"Apple iPhone 11 Pro Max, 256GB, Space Gray - Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/81ldhum0M4L._AC_UY218_.jpg"" width=""60"">",498,
"Total by Verizon iPhone 11, 64GB, Black - Prepaid Smartphone (Locked)","<img src=""https://m.media-amazon.com/images/I/41CYvvlV6HL._AC_UY218_.jpg"" width=""60"">",299,
"Apple iPhone 12 Pro Max, 512GB, Graphite - Fully Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/71BiMFOcstL._AC_UY218_.jpg"" width=""60"">",691,
"Apple iPhone 12 Pro Max, 128GB, Gold - Unlocked (Renewed Premium)","<img src=""https://m.media-amazon.com/images/I/31DXs7b1j2L._AC_UY218_.jpg"" width=""60"">",689,
"Apple iPhone 12 Pro Max, 128GB, Graphite - Unlocked (Renewed Premium)","<img src=""https://m.media-amazon.com/images/I/61l3+VGfj2L._AC_UY218_.jpg"" width=""60"">",689,
"Apple iPhone 12 Pro Max, 128GB, Silver - Unlocked (Renewed Premium)","<img src=""https://m.media-amazon.com/images/I/61AhDuc-qbL._AC_UY218_.jpg"" width=""60"">",689,
